Date,Name of customer,Title,Device,Tasks classification,Ticket id,Assigned to,Assisted by,Description
2025-08-14 17:53:31,A Quality Healthcare & Diagnostic Center Pvt. Ltd.,Application Issue,BA200,Break Down Call (On Call),#1733885193,Abiral Dulal,N/A,
2025-07-13 22:55:03,A Quality Healthcare & Diagnostic Center Pvt. Ltd.,fluid obstruct,BA200,Break Down Call (On Call),#1733885024,Sneha,N/A,
2025-06-20 18:39:21,A Quality Healthcare & Diagnostic Center Pvt. Ltd.,fluid obstruction,BA200,Break Down Call (On Call),#1733884896,Prabhakar Neupane,N/A,
2025-08-05 22:20:49,A Quality Healthcare & Diagnostic Center Pvt. Ltd.,ISSUE IN REAGENT BLOCK,BA200,Break Down Call (On Call),#1733885137,Sneha,N/A,
2025-11-21 15:16:49,A Quality Healthcare & Diagnostic Center Pvt. Ltd.,pms,BA200,PMS,#1733885628,Abiral Dulal,N/A,
2024-11-17 10:49:08,A Quality Healthcare & Diagnostic Center Pvt. Ltd.,PMS of BA200 at A Quality Health Care & Diagnostic Center Pvt. Ltd.,BA200,N/A,#1731819848,Abiral Dulal,N/A,
2025-05-25 18:43:13,A Quality Healthcare & Diagnostic Center Pvt. Ltd.,PMS of the machine,BA200,PMS,#1733884745,Sneha,N/A,
2025-12-03 16:32:57,A Quality Healthcare & Diagnostic Center Pvt. Ltd.,PMS of the machine,BA200,PMS,#1733885688,Abiral Dulal,N/A,
2026-01-29 21:57:48,A Quality Healthcare & Diagnostic Center Pvt. Ltd.,qc setup,BA200,Break Down Call (On Site),#1733885904,Sneha,N/A,
2025-01-24 18:16:36,Aastha Kidney & Specialized Hospital Pvt. Ltd.,3WAY valve change,H33s,Break Down Calls,#1733884172,N/A,N/A,
2025-10-19 09:59:27,Aastha Kidney & Specialized Hospital Pvt. Ltd.,Installation of machine,H33s,Installation,#1733885503,Binita Paudel,N/A,
2025-05-20 22:06:57,Aastha Kidney & Specialized Hospital Pvt. Ltd.,issue in H33s,H33s,Break Down Calls,#1733884729,Samir Paudel,N/A,
2026-05-29 16:32:08,Aastha Kidney & Specialized Hospital Pvt. Ltd.,PMS of the machine,H33s,PMS,#1733886316,Binita Paudel,N/A,
2026-01-09 18:00:26,Aastha Kidney & Specialized Hospital Pvt. Ltd.,PMS of the machine,H33s,Break Down Call (On Site),#1733885834,Binita Paudel,N/A,
2025-11-18 17:14:15,Advance Multispeciality Hospital,Draining Fluidics,BA200,Break Down Call (On Site),#1733885611,Pradip Baral,N/A,
2025-06-01 17:22:56,Akama Hotel,check machine,Dosing Pump,Break Down Calls,#1733884777,Sanu Kaji Tha,N/A,
2025-04-28 17:54:51,Akama Hotel,check machine,Dosing Pump,N/A,#1733884637,Sanu Kaji Tha,N/A,
2025-07-25 20:37:57,Akama Hotel,dosing pump issue,Dosing Pump,Break Down Call (On Site),#1733885084,Sanu Kaji Tha,N/A,
2025-03-13 10:49:34,Akama Hotel,issue in D3000,Dosing Pump,N/A,#1733884435,Sanu Kaji Tha,N/A,
2025-07-18 18:39:48,Akama Hotel,issue in pump,Dosing Pump,Break Down Call (On Site),#1733885047,Sanu Kaji Tha,N/A,
2025-01-09 19:17:31,Akama Hotel,machine issue,Dosing Pump,N/A,#1733884085,Sanu Kaji Tha,N/A,
2025-01-24 10:38:17,Akama Hotel,pump issue,Dosing Pump,Break Down Calls,#1733884164,Sanu Kaji Tha,N/A,
2024-08-29 14:44:04,Al Khaleej Medical Center,abnormal voltage,H33s,Break Down Calls,#8847418,N/A,N/A,
2024-11-21 15:45:09,Al Khaleej Medical Center,Background abnormal,H33s,Break Down Calls,#1309211,Sujan Babu Karki, Nabin Bhandari,
